"region","fuel_type","year","Value"
"NEG","COL",2020,3.55449472575
"NEG","GAS",2020,6.65461920809405
"NEG","OIL",2020,18.0966046390083
"NEG","bio",2020,2.65
"NEG","nuc",2020,0.76
"NY","COL",2020,2.654413008
"NY","GAS",2020,5.64169464146496
"NY","OIL",2020,13.48433892
"NY","bio",2020,2.65
"NY","nuc",2020,0.76
"MID","COL",2020,2.47084898715385
"MID","GAS",2020,5.64169464146496
"MID","OIL",2020,13.48433892
"MID","bio",2020,2.65
"MID","nuc",2020,0.76
"ENC","COL",2020,2.30499124558095
"ENC","GAS",2020,4.77218879204104
"ENC","OIL",2020,11.1673607804019
"ENC","bio",2020,2.65
"ENC","nuc",2020,0.76
"WNC","COL",2020,1.86822116699286
"WNC","GAS",2020,4.74172466006049
"WNC","OIL",2020,16.5373699055014
"WNC","bio",2020,2.65
"WNC","nuc",2020,0.76
"FL","COL",2020,3.179603837
"FL","GAS",2020,6.50131962944268
"FL","OIL",2020,5.06653283
"FL","bio",2020,2.65
"FL","nuc",2020,0.76
"SAC","COL",2020,2.95662040591473
"SAC","GAS",2020,5.72823372583383
"SAC","OIL",2020,14.7854372498482
"SAC","bio",2020,2.65
"SAC","nuc",2020,0.76
"ESC","COL",2020,2.54666427331959
"ESC","GAS",2020,4.98674127491929
"ESC","OIL",2020,16.46726887
"ESC","bio",2020,2.65
"ESC","nuc",2020,0.76
"TX","COL",2020,2.471758370875
"TX","GAS",2020,3.63809516638978
"TX","OIL",2020,16.17494419
"TX","bio",2020,2.65
"TX","nuc",2020,0.76
"WSC","COL",2020,2.83139171481579
"WSC","GAS",2020,4.50918582667556
"WSC","OIL",2020,11.0441710289
"WSC","bio",2020,2.65
"WSC","nuc",2020,0.76
"MTN","COL",2020,2.2759341075
"MTN","GAS",2020,4.58010114170513
"MTN","OIL",2020,19.0113088528125
"MTN","bio",2020,2.65
"MTN","nuc",2020,0.76
"CA","COL",2020,2.4987826425
"CA","GAS",2020,7.1624477681443
"CA","OIL",2020,16.61275148
"CA","bio",2020,2.65
"CA","nuc",2020,0.76
"PAC","COL",2020,2.446498557
"PAC","GAS",2020,4.77698906305917
"PAC","OIL",2020,17.8400813123077
"PAC","bio",2020,2.65
"PAC","nuc",2020,0.76
