"region","fuel_type","year","Value"
"NEG","COL",2020,3.55449472575
"NEG","GAS",2020,4.48490866690254
"NEG","OIL",2020,18.0966046390083
"NEG","bio",2020,2.65
"NEG","nuc",2020,0.76
"NY","COL",2020,2.654413008
"NY","GAS",2020,3.80224388538239
"NY","OIL",2020,13.48433892
"NY","bio",2020,2.65
"NY","nuc",2020,0.76
"MID","COL",2020,2.47084898715385
"MID","GAS",2020,3.80224388538239
"MID","OIL",2020,13.48433892
"MID","bio",2020,2.65
"MID","nuc",2020,0.76
"ENC","COL",2020,2.30499124558095
"ENC","GAS",2020,3.21623675288402
"ENC","OIL",2020,11.1673607804019
"ENC","bio",2020,2.65
"ENC","nuc",2020,0.76
"WNC","COL",2020,1.86822116699286
"WNC","GAS",2020,3.19570532271849
"WNC","OIL",2020,16.5373699055014
"WNC","bio",2020,2.65
"WNC","nuc",2020,0.76
"FL","COL",2020,3.179603837
"FL","GAS",2020,4.38159176965773
"FL","OIL",2020,5.06653283
"FL","bio",2020,2.65
"FL","nuc",2020,0.76
"SAC","COL",2020,2.95662040591473
"SAC","GAS",2020,3.86056726608608
"SAC","OIL",2020,14.7854372498482
"SAC","bio",2020,2.65
"SAC","nuc",2020,0.76
"ESC","COL",2020,2.54666427331959
"ESC","GAS",2020,3.36083530313551
"ESC","OIL",2020,16.46726887
"ESC","bio",2020,2.65
"ESC","nuc",2020,0.76
"TX","COL",2020,2.471758370875
"TX","GAS",2020,2.45190957326483
"TX","OIL",2020,16.17494419
"TX","bio",2020,2.65
"TX","nuc",2020,0.76
"WSC","COL",2020,2.83139171481579
"WSC","GAS",2020,3.03898479572409
"WSC","OIL",2020,11.0441710289
"WSC","bio",2020,2.65
"WSC","nuc",2020,0.76
"MTN","COL",2020,2.2759341075
"MTN","GAS",2020,3.08677847122177
"MTN","OIL",2020,19.0113088528125
"MTN","bio",2020,2.65
"MTN","nuc",2020,0.76
"CA","COL",2020,2.4987826425
"CA","GAS",2020,4.82716186562799
"CA","OIL",2020,16.61275148
"CA","bio",2020,2.65
"CA","nuc",2020,0.76
"PAC","COL",2020,2.446498557
"PAC","GAS",2020,3.21947191577155
"PAC","OIL",2020,17.8400813123077
"PAC","bio",2020,2.65
"PAC","nuc",2020,0.76
