"region","fuel_type","year","Value"
"NEG","COL",2020,3.55449472575
"NEG","GAS",2020,3.91489996540308
"NEG","OIL",2020,18.0966046390083
"NEG","bio",2020,2.65
"NEG","nuc",2020,0.76
"NY","COL",2020,2.654413008
"NY","GAS",2020,3.31899834776748
"NY","OIL",2020,13.48433892
"NY","bio",2020,2.65
"NY","nuc",2020,0.76
"MID","COL",2020,2.47084898715385
"MID","GAS",2020,3.31899834776748
"MID","OIL",2020,13.48433892
"MID","bio",2020,2.65
"MID","nuc",2020,0.76
"ENC","COL",2020,2.30499124558095
"ENC","GAS",2020,2.80746969174955
"ENC","OIL",2020,11.1673607804019
"ENC","bio",2020,2.65
"ENC","nuc",2020,0.76
"WNC","COL",2020,1.86822116699286
"WNC","GAS",2020,2.78954770019643
"WNC","OIL",2020,16.5373699055014
"WNC","bio",2020,2.65
"WNC","nuc",2020,0.76
"FL","COL",2020,3.179603837
"FL","GAS",2020,3.82471411157863
"FL","OIL",2020,5.06653283
"FL","bio",2020,2.65
"FL","nuc",2020,0.76
"SAC","COL",2020,2.95662040591473
"SAC","GAS",2020,3.36990912835575
"SAC","OIL",2020,14.7854372498482
"SAC","bio",2020,2.65
"SAC","nuc",2020,0.76
"ESC","COL",2020,2.54666427331959
"ESC","GAS",2020,2.93369051393808
"ESC","OIL",2020,16.46726887
"ESC","bio",2020,2.65
"ESC","nuc",2020,0.76
"TX","COL",2020,2.471758370875
"TX","GAS",2020,2.14028454456251
"TX","OIL",2020,16.17494419
"TX","bio",2020,2.65
"TX","nuc",2020,0.76
"WSC","COL",2020,2.83139171481579
"WSC","GAS",2020,2.65274554183006
"WSC","OIL",2020,11.0441710289
"WSC","bio",2020,2.65
"WSC","nuc",2020,0.76
"MTN","COL",2020,2.2759341075
"MTN","GAS",2020,2.69446488829818
"MTN","OIL",2020,19.0113088528125
"MTN","bio",2020,2.65
"MTN","nuc",2020,0.76
"CA","COL",2020,2.4987826425
"CA","GAS",2020,4.21365455225507
"CA","OIL",2020,16.61275148
"CA","bio",2020,2.65
"CA","nuc",2020,0.76
"PAC","COL",2020,2.446498557
"PAC","GAS",2020,2.81029368216209
"PAC","OIL",2020,17.8400813123077
"PAC","bio",2020,2.65
"PAC","nuc",2020,0.76
